subject_id,status,total_trials,ica_components,excluded_components,excluded_percentage,brain_components,muscle_components,eye_components,heart_components,line_noise_components,channel_noise_components,other_components,processing_time_sec
s01,Success,40,10,7,70.0,0,0,0,7,0,0,3,6.7325
s02,Success,40,10,6,60.0,0,0,0,6,0,0,4,3.9948
s03,Success,40,10,5,50.0,1,0,0,5,0,0,4,3.9495
s04,Success,40,10,7,70.0,0,0,0,7,0,0,3,4.0015
s05,Success,40,10,7,70.0,0,1,0,6,0,0,3,4.3708
s06,Success,40,10,7,70.0,0,0,0,7,0,0,3,3.9061
s07,Success,40,10,7,70.0,0,0,0,7,0,0,3,3.9225
s08,Success,40,10,7,70.0,0,0,0,7,0,0,3,3.9211
s09,Success,40,10,5,50.0,0,0,0,5,0,0,5,3.8736
s10,Success,40,10,7,70.0,0,0,0,7,0,0,3,3.9085
s11,Success,40,10,8,80.0,0,0,0,8,0,0,2,3.8899
s12,Success,40,10,8,80.0,0,1,0,7,0,0,2,3.8919
s13,Success,40,10,8,80.0,0,0,1,7,0,0,2,3.956
s14,Success,40,10,7,70.0,0,0,0,7,0,0,3,4.0281
s15,Success,40,10,8,80.0,0,1,0,7,0,0,2,4.4893
s16,Success,40,10,9,90.0,0,0,1,8,0,0,1,3.8981
s17,Success,40,10,8,80.0,0,0,0,8,0,0,2,5.9663
s18,Success,40,10,6,60.0,0,0,0,6,0,0,4,6.0897
s19,Success,40,10,6,60.0,0,0,0,6,0,0,4,4.0117
s20,Success,40,10,9,90.0,0,0,0,9,0,0,1,8.5701
s21,Success,40,10,4,40.0,0,0,0,4,0,0,6,4.0475
s22,Success,40,10,10,100.0,0,0,0,10,0,0,0,5.8102
s23,Success,40,10,8,80.0,0,1,0,7,0,0,2,3.9873
s24,Success,40,10,8,80.0,0,0,0,8,0,0,2,3.8505
s25,Success,40,10,6,60.0,0,0,0,6,0,0,4,3.9416
s26,Success,40,10,9,90.0,0,0,0,9,0,0,1,3.9103
s27,Success,40,10,6,60.0,0,0,0,6,0,0,4,3.9644
s28,Success,40,10,6,60.0,0,0,0,6,0,0,4,3.9422
s29,Success,40,10,7,70.0,0,0,0,7,0,0,3,5.7776
s30,Success,40,10,5,50.0,0,1,0,4,0,0,5,4.1045
s31,Success,40,10,7,70.0,0,0,0,7,0,0,3,6.125
s32,Success,40,10,8,80.0,0,0,0,8,0,0,2,3.882
