subject_id,status,total_trials,ica_components,excluded_components,excluded_percentage,brain_components,muscle_components,eye_components,heart_components,line_noise_components,channel_noise_components,other_components,processing_time_sec
s01,Success,40,10,7,70.0,2,0,0,7,0,0,1,8.6158
s02,Success,40,10,8,80.0,0,0,0,8,0,0,2,3.8656
s03,Success,40,10,6,60.0,1,0,0,6,0,0,3,3.8351
s04,Success,40,10,8,80.0,0,0,0,8,0,0,2,3.8055
s05,Success,40,10,8,80.0,0,1,0,6,0,1,2,4.2889
s06,Success,40,10,5,50.0,1,0,0,5,0,0,4,3.7497
s07,Success,40,10,8,80.0,1,1,0,7,0,0,1,4.0264
s08,Success,40,10,8,80.0,0,0,0,8,0,0,2,3.8304
s09,Success,40,10,8,80.0,0,0,0,7,0,1,2,4.017
s10,Success,40,10,7,70.0,0,0,0,7,0,0,3,3.911
s11,Success,40,10,8,80.0,0,0,0,8,0,0,2,3.95
s12,Success,40,10,7,70.0,2,0,0,7,0,0,1,3.976
s13,Success,40,10,8,80.0,1,1,1,6,0,0,1,3.9254
s14,Success,40,10,9,90.0,0,0,0,9,0,0,1,4.4237
s15,Success,40,10,9,90.0,0,2,0,7,0,0,1,4.7062
s16,Success,40,10,10,100.0,0,0,1,9,0,0,0,4.4649
s17,Success,40,10,9,90.0,0,1,0,8,0,0,1,6.9053
s18,Success,40,10,8,80.0,1,0,0,8,0,0,1,7.0396
s19,Success,40,10,8,80.0,1,0,0,8,0,0,1,4.3058
s20,Success,40,10,7,70.0,1,0,0,7,0,0,2,9.0701
s21,Success,40,10,6,60.0,0,0,0,6,0,0,4,4.1414
s22,Success,40,10,8,80.0,0,0,0,8,0,0,2,6.3909
s23,Success,40,10,9,90.0,0,0,0,9,0,0,1,4.2515
s24,Success,40,10,6,60.0,1,0,0,6,0,0,3,4.4199
s25,Success,40,10,8,80.0,0,0,0,8,0,0,2,4.5052
s26,Success,40,10,9,90.0,0,0,0,9,0,0,1,4.2378
s27,Success,40,10,9,90.0,0,1,0,8,0,0,1,4.1985
s28,Success,40,10,7,70.0,1,0,0,7,0,0,2,4.9309
s29,Success,40,10,6,60.0,2,1,0,5,0,0,2,6.4953
s30,Success,40,10,8,80.0,0,1,0,7,0,0,2,4.1362
s31,Success,40,10,8,80.0,1,0,0,8,0,0,1,6.3555
s32,Success,40,10,7,70.0,0,0,0,7,0,0,3,3.8021
