subject_id,status,total_trials,ica_components,excluded_components,excluded_percentage,brain_components,muscle_components,eye_components,heart_components,line_noise_components,channel_noise_components,other_components,processing_time_sec
s01,Success,40,10,7,70.0,2,0,0,7,0,0,1,7.1655
s02,Success,40,10,8,80.0,0,0,0,8,0,0,2,3.9277
s03,Success,40,10,6,60.0,1,0,0,6,0,0,3,3.9668
s04,Success,40,10,8,80.0,0,0,0,8,0,0,2,4.0383
s05,Success,40,10,8,80.0,0,1,0,6,0,1,2,4.6382
s06,Success,40,10,5,50.0,1,0,0,5,0,0,4,4.0104
s07,Success,40,10,8,80.0,1,1,0,7,0,0,1,4.3088
s08,Success,40,10,8,80.0,0,0,0,8,0,0,2,4.148
s09,Success,40,10,8,80.0,0,0,0,7,0,1,2,4.2665
s10,Success,40,10,7,70.0,0,0,0,7,0,0,3,4.0948
s11,Success,40,10,8,80.0,0,0,0,8,0,0,2,4.1869
s12,Success,40,10,7,70.0,2,0,0,7,0,0,1,4.1962
s13,Success,40,10,8,80.0,1,1,1,6,0,0,1,4.7487
s14,Success,40,10,9,90.0,0,0,0,9,0,0,1,4.6291
s15,Success,40,10,9,90.0,0,2,0,7,0,0,1,5.1108
s16,Success,40,10,10,100.0,0,0,1,9,0,0,0,4.2776
s17,Success,40,10,9,90.0,0,1,0,8,0,0,1,5.8439
s18,Success,40,10,7,70.0,1,0,0,7,0,0,2,6.2997
s19,Success,40,10,8,80.0,1,0,0,8,0,0,1,4.6882
s20,Success,40,10,7,70.0,1,0,0,7,0,0,2,9.8423
s21,Success,40,10,6,60.0,0,0,0,6,0,0,4,4.3547
s22,Success,40,10,8,80.0,0,1,0,7,0,0,2,7.646
s23,Success,40,10,9,90.0,0,0,0,9,0,0,1,4.3165
s24,Success,40,10,6,60.0,1,0,0,6,0,0,3,4.8141
s25,Success,40,10,8,80.0,0,0,0,8,0,0,2,5.3778
s26,Success,40,10,9,90.0,0,0,0,9,0,0,1,4.4873
s27,Success,40,10,9,90.0,0,1,0,8,0,0,1,4.46
s28,Success,40,10,7,70.0,1,0,0,7,0,0,2,4.3184
s29,Success,40,10,6,60.0,2,1,0,5,0,0,2,5.2311
s30,Success,40,10,8,80.0,0,1,0,7,0,0,2,4.6773
s31,Success,40,10,9,90.0,0,0,0,9,0,0,1,8.5603
s32,Success,40,10,7,70.0,0,0,0,7,0,0,3,4.187
