subject_id,status,total_trials,ica_components,excluded_components,excluded_percentage,brain_components,muscle_components,eye_components,heart_components,line_noise_components,channel_noise_components,other_components,processing_time_sec
s01,Success,40,15,12,80.0,2,0,0,12,0,0,1,15.2199
s02,Success,40,15,13,86.67,0,1,0,12,0,0,2,9.4063
s03,Success,40,15,8,53.33,3,0,0,8,0,0,4,5.1074
s04,Success,40,15,13,86.67,0,0,0,13,0,0,2,5.0259
s05,Success,40,15,12,80.0,1,2,0,9,0,1,2,5.4551
s06,Success,40,15,10,66.67,1,0,0,10,0,0,4,4.9839
s07,Success,40,15,13,86.67,1,1,0,12,0,0,1,4.8908
s08,Success,40,15,13,86.67,0,0,0,13,0,0,2,4.8709
s09,Success,40,15,13,86.67,0,0,0,13,0,0,2,4.9668
s10,Success,40,15,12,80.0,1,1,0,11,0,0,2,5.9822
s11,Success,40,15,13,86.67,0,0,0,13,0,0,2,5.4916
s12,Success,40,15,13,86.67,1,0,0,13,0,0,1,5.5257
s13,Success,40,15,13,86.67,1,1,1,11,0,0,1,5.7816
s14,Success,40,15,14,93.33,0,0,0,14,0,0,1,5.0767
s15,Success,40,15,13,86.67,0,1,0,12,0,0,2,5.2887
s16,Success,40,15,14,93.33,1,0,2,12,0,0,0,4.8843
s17,Success,40,15,14,93.33,0,1,0,13,0,0,1,8.615
s18,Success,40,15,11,73.33,1,0,0,11,0,0,3,6.2696
s19,Success,40,15,15,100.0,0,0,0,14,0,1,0,4.8136
s20,Success,40,15,11,73.33,1,0,0,11,0,0,3,7.481
s21,Success,40,15,10,66.67,0,0,0,10,0,0,5,4.9738
s22,Success,40,15,14,93.33,0,0,0,14,0,0,1,9.1754
s23,Success,40,15,14,93.33,0,0,1,13,0,0,1,5.4957
s24,Success,40,15,9,60.0,2,0,0,9,0,0,4,5.0953
s25,Success,40,15,13,86.67,0,1,0,12,0,0,2,5.1055
s26,Success,40,15,13,86.67,1,0,0,13,0,0,1,5.4203
s27,Success,40,15,13,86.67,0,2,0,11,0,0,2,5.0063
s28,Success,40,15,11,73.33,1,0,0,11,0,0,3,5.1493
s29,Success,40,15,11,73.33,1,0,0,11,0,0,3,6.2007
s30,Success,40,15,12,80.0,0,2,0,10,0,0,3,5.1391
s31,Success,40,15,12,80.0,1,0,2,10,0,0,2,7.8375
s32,Success,40,15,11,73.33,1,0,0,11,0,0,3,4.9895
