subject_id,component_index,probability
s01,0,0.5111857652664185
s01,2,0.9754376411437988
s01,3,0.9622042775154114
s01,4,0.8029286861419678
s01,5,0.9764838218688965
s01,7,0.6331440210342407
s01,8,0.9893643856048584
s01,10,0.9582464694976807
s01,11,0.9820700883865356
s01,12,0.9152860045433044
s01,13,0.8650442957878113
s01,14,0.9897215962409973
s02,2,0.9334070682525635
s02,3,0.6151797771453857
s02,4,0.709333062171936
s02,5,0.9694172739982605
s02,6,0.8871036171913147
s02,7,0.9955751895904541
s02,8,0.9867349863052368
s02,9,0.9823541641235352
s02,10,0.8536198735237122
s02,11,0.932357907295227
s02,13,0.916451096534729
s02,14,0.9155120849609375
s03,1,0.5850379467010498
s03,3,0.5755172371864319
s03,6,0.968355655670166
s03,7,0.9827205538749695
s03,8,0.4964175522327423
s03,10,0.9274222254753113
s03,11,0.8886653184890747
s03,12,0.7801296710968018
s04,2,0.97549968957901
s04,3,0.94376540184021
s04,4,0.917343258857727
s04,5,0.7802302837371826
s04,6,0.9899576902389526
s04,7,0.7855201363563538
s04,8,0.8247179985046387
s04,9,0.9727475047111511
s04,10,0.9893033504486084
s04,11,0.997856855392456
s04,12,0.9973167181015015
s04,13,0.995154857635498
s04,14,0.97562575340271
s05,2,0.7348916530609131
s05,3,0.5444897413253784
s05,5,0.5710455775260925
s05,6,0.7213656902313232
s05,8,0.8315277099609375
s05,9,0.8921493291854858
s05,10,0.8085278272628784
s05,12,0.6170181632041931
s05,13,0.49908876419067383
s06,2,0.5995714664459229
s06,3,0.9095697402954102
s06,4,0.8822301030158997
s06,5,0.8123451471328735
s06,8,0.6013124585151672
s06,9,0.7391656637191772
s06,10,0.6137245893478394
s06,11,0.7926258444786072
s06,12,0.9387339353561401
s06,14,0.960422694683075
s07,0,0.9169390201568604
s07,2,0.9766862392425537
s07,4,0.9516891241073608
s07,5,0.89764004945755
s07,6,0.9099231362342834
s07,7,0.9837502241134644
s07,9,0.8459763526916504
s07,10,0.8871215581893921
s07,11,0.9872168302536011
s07,12,0.5616059899330139
s07,13,0.9262198805809021
s07,14,0.6220829486846924
s08,2,0.6099229454994202
s08,3,0.9963126182556152
s08,4,0.9603577256202698
