subject_id,status,total_trials,ica_components,excluded_components,excluded_percentage,brain_components,muscle_components,eye_components,heart_components,line_noise_components,channel_noise_components,other_components,processing_time_sec
s01,Success,40,30,27,90.0,1,0,0,27,0,0,2,23.2551
s02,Success,40,30,26,86.67,1,0,1,25,0,0,3,13.6885
s03,Success,40,30,22,73.33,1,0,0,21,0,1,7,9.3216
s04,Success,40,30,27,90.0,0,0,0,27,0,0,3,10.1604
s05,Success,40,30,25,83.33,0,3,0,22,0,0,5,13.1308
s06,Success,40,30,19,63.33,1,0,0,19,0,0,10,8.8128
s07,Success,40,30,28,93.33,0,0,0,28,0,0,2,9.3422
s08,Success,40,30,25,83.33,2,0,0,24,0,1,3,10.5668
s09,Success,40,30,24,80.0,2,0,0,24,0,0,4,10.2917
s10,Success,40,30,25,83.33,1,1,1,23,0,0,4,13.0864
s11,Success,40,30,26,86.67,0,1,0,25,0,0,4,9.6883
s12,Success,40,30,24,80.0,2,0,0,24,0,0,4,9.6395
s13,Success,40,30,27,90.0,1,1,1,25,0,0,2,12.2331
s14,Success,40,30,29,96.67,0,0,0,29,0,0,1,8.8636
s15,Success,40,30,25,83.33,0,1,1,22,0,1,5,11.3556
s16,Success,40,30,26,86.67,2,1,1,24,0,0,2,9.6548
s17,Success,40,30,28,93.33,0,2,0,26,0,0,2,13.1708
s18,Success,40,30,24,80.0,1,0,1,23,0,0,5,10.4898
s19,Success,40,30,27,90.0,2,0,0,26,0,1,1,10.0709
s20,Success,40,30,27,90.0,1,0,0,27,0,0,2,16.4494
s21,Success,40,30,17,56.67,0,0,0,17,0,0,13,9.7372
s22,Success,40,30,29,96.67,0,0,0,29,0,0,1,19.2881
s23,Success,40,30,27,90.0,1,0,1,26,0,0,2,8.2763
s24,Success,40,30,24,80.0,2,1,0,23,0,0,4,8.8966
s25,Success,40,30,25,83.33,1,1,0,24,0,0,4,8.1765
s26,Success,40,30,27,90.0,1,0,0,27,0,0,2,8.2029
s27,Success,40,30,27,90.0,0,2,0,25,0,0,3,8.3345
s28,Success,40,30,25,83.33,1,0,0,24,0,1,4,11.7101
s29,Success,40,30,21,70.0,2,0,0,21,0,0,7,12.1372
s30,Success,40,30,25,83.33,0,1,0,23,0,1,5,9.2445
s31,Success,40,30,24,80.0,3,0,1,22,0,1,3,12.8399
s32,Success,40,30,23,76.67,0,0,0,23,0,0,7,10.0022
