Subject,Session,Run,Condition,Sampling Rate (Hz),Low Cutoff (Hz),High Cutoff (Hz),EEG Rank,Total ICs,Brain,Muscle,Eye Blink,Heart Beat,Line Noise,Channel Noise,Other,Mean Confidence,Median Confidence,Runtime (s),Brain Proportion,Muscle Proportion,Eye Blink Proportion,Heart Beat Proportion,Line Noise Proportion,Channel Noise Proportion,Other Proportion
sub-01,0train,0,A_250Hz_1-100Hz,250.0,1.0,100.0,21,15,12,0,1,0,1,0,1,0.879784,0.942033,10.017,0.8,0.0,0.066667,0.0,0.066667,0.0,0.066667
sub-01,0train,0,B_250Hz_4-45Hz,250.0,4.0,45.0,21,15,11,0,1,1,0,0,2,0.762572,0.836678,10.105,0.733333,0.0,0.066667,0.066667,0.0,0.0,0.133333
sub-01,0train,0,C_128Hz_1-63Hz,128.0,1.0,63.0,21,15,11,0,1,0,1,0,2,0.853708,0.948268,10.169,0.733333,0.0,0.066667,0.0,0.066667,0.0,0.133333
sub-01,0train,0,D_128Hz_4-45Hz,128.0,4.0,45.0,21,15,11,0,1,1,0,0,2,0.766122,0.809289,6.029,0.733333,0.0,0.066667,0.066667,0.0,0.0,0.133333
sub-02,0train,0,A_250Hz_1-100Hz,250.0,1.0,100.0,21,15,8,0,1,0,4,0,2,0.84145,0.878291,9.253,0.533333,0.0,0.066667,0.0,0.266667,0.0,0.133333
sub-02,0train,0,B_250Hz_4-45Hz,250.0,4.0,45.0,21,15,9,0,1,4,0,0,1,0.714486,0.812331,30.343,0.6,0.0,0.066667,0.266667,0.0,0.0,0.066667
sub-02,0train,0,C_128Hz_1-63Hz,128.0,1.0,63.0,21,15,7,0,1,0,5,0,2,0.806349,0.799964,5.879,0.466667,0.0,0.066667,0.0,0.333333,0.0,0.133333
sub-02,0train,0,D_128Hz_4-45Hz,128.0,4.0,45.0,21,15,11,1,1,1,0,0,1,0.679707,0.680752,36.238,0.733333,0.066667,0.066667,0.066667,0.0,0.0,0.066667
sub-03,0train,0,A_250Hz_1-100Hz,250.0,1.0,100.0,21,15,10,1,1,0,2,0,1,0.77218,0.773274,8.936,0.666667,0.066667,0.066667,0.0,0.133333,0.0,0.066667
sub-03,0train,0,B_250Hz_4-45Hz,250.0,4.0,45.0,21,15,12,1,2,0,0,0,0,0.758643,0.881225,9.037,0.8,0.066667,0.133333,0.0,0.0,0.0,0.0
sub-03,0train,0,C_128Hz_1-63Hz,128.0,1.0,63.0,21,15,12,0,1,0,2,0,0,0.76508,0.76943,5.38,0.8,0.0,0.066667,0.0,0.133333,0.0,0.0
sub-03,0train,0,D_128Hz_4-45Hz,128.0,4.0,45.0,21,15,11,1,2,0,1,0,0,0.749656,0.867342,5.729,0.733333,0.066667,0.133333,0.0,0.066667,0.0,0.0
sub-04,0train,0,A_250Hz_1-100Hz,250.0,1.0,100.0,21,15,10,0,1,0,3,0,1,0.897679,0.933012,9.129,0.666667,0.0,0.066667,0.0,0.2,0.0,0.066667
sub-04,0train,0,B_250Hz_4-45Hz,250.0,4.0,45.0,21,15,10,0,1,2,1,0,1,0.75654,0.769355,9.806,0.666667,0.0,0.066667,0.133333,0.066667,0.0,0.066667
sub-04,0train,0,C_128Hz_1-63Hz,128.0,1.0,63.0,21,15,11,0,1,0,1,0,2,0.879052,0.940676,7.303,0.733333,0.0,0.066667,0.0,0.066667,0.0,0.133333
sub-04,0train,0,D_128Hz_4-45Hz,128.0,4.0,45.0,21,15,10,0,1,1,1,0,2,0.767856,0.821124,6.291,0.666667,0.0,0.066667,0.066667,0.066667,0.0,0.133333
sub-05,0train,0,A_250Hz_1-100Hz,250.0,1.0,100.0,21,15,8,1,1,0,4,0,1,0.728435,0.796139,8.854,0.533333,0.066667,0.066667,0.0,0.266667,0.0,0.066667
sub-05,0train,0,B_250Hz_4-45Hz,250.0,4.0,45.0,21,15,11,0,2,0,0,0,2,0.770816,0.761865,9.087,0.733333,0.0,0.133333,0.0,0.0,0.0,0.133333
sub-05,0train,0,C_128Hz_1-63Hz,128.0,1.0,63.0,21,15,8,1,2,0,3,0,1,0.740818,0.818907,5.337,0.533333,0.066667,0.133333,0.0,0.2,0.0,0.066667
sub-05,0train,0,D_128Hz_4-45Hz,128.0,4.0,45.0,21,15,11,0,2,0,0,0,2,0.778725,0.767892,5.33,0.733333,0.0,0.133333,0.0,0.0,0.0,0.133333
sub-06,0train,0,A_250Hz_1-100Hz,250.0,1.0,100.0,21,15,13,0,0,0,0,0,2,0.848481,0.967416,8.721,0.866667,0.0,0.0,0.0,0.0,0.0,0.133333
sub-06,0train,0,B_250Hz_4-45Hz,250.0,4.0,45.0,21,15,14,0,0,0,0,0,1,0.838943,0.845308,8.83,0.933333,0.0,0.0,0.0,0.0,0.0,0.066667
sub-06,0train,0,C_128Hz_1-63Hz,128.0,1.0,63.0,21,15,14,0,0,0,0,0,1,0.873761,0.97561,5.302,0.933333,0.0,0.0,0.0,0.0,0.0,0.066667
sub-06,0train,0,D_128Hz_4-45Hz,128.0,4.0,45.0,21,15,14,0,0,0,0,0,1,0.822854,0.83531,5.473,0.933333,0.0,0.0,0.0,0.0,0.0,0.066667
sub-07,0train,0,A_250Hz_1-100Hz,250.0,1.0,100.0,21,15,9,0,2,0,3,0,1,0.879876,0.912192,9.454,0.6,0.0,0.133333,0.0,0.2,0.0,0.066667
sub-07,0train,0,B_250Hz_4-45Hz,250.0,4.0,45.0,21,15,11,0,1,0,2,0,1,0.782655,0.844954,9.51,0.733333,0.0,0.066667,0.0,0.133333,0.0,0.066667
sub-07,0train,0,C_128Hz_1-63Hz,128.0,1.0,63.0,21,15,6,0,2,0,6,0,1,0.858296,0.917751,5.795,0.4,0.0,0.133333,0.0,0.4,0.0,0.066667
sub-07,0train,0,D_128Hz_4-45Hz,128.0,4.0,45.0,21,15,11,0,1,0,2,0,1,0.752987,0.760527,6.555,0.733333,0.0,0.066667,0.0,0.133333,0.0,0.066667
sub-08,0train,0,A_250Hz_1-100Hz,250.0,1.0,100.0,21,15,11,0,1,0,1,0,2,0.922367,0.94483,9.372,0.733333,0.0,0.066667,0.0,0.066667,0.0,0.133333
sub-08,0train,0,B_250Hz_4-45Hz,250.0,4.0,45.0,21,15,13,0,1,0,0,0,1,0.929131,0.96632,8.681,0.866667,0.0,0.066667,0.0,0.0,0.0,0.066667
sub-08,0train,0,C_128Hz_1-63Hz,128.0,1.0,63.0,21,15,11,0,1,0,2,0,1,0.90532,0.970012,6.041,0.733333,0.0,0.066667,0.0,0.133333,0.0,0.066667
sub-08,0train,0,D_128Hz_4-45Hz,128.0,4.0,45.0,21,15,12,0,2,0,0,0,1,0.9116,0.923426,5.525,0.8,0.0,0.133333,0.0,0.0,0.0,0.066667
sub-09,0train,0,A_250Hz_1-100Hz,250.0,1.0,100.0,21,15,7,0,1,0,5,0,2,0.806224,0.847701,8.764,0.466667,0.0,0.066667,0.0,0.333333,0.0,0.133333
sub-09,0train,0,B_250Hz_4-45Hz,250.0,4.0,45.0,21,15,12,0,1,1,1,0,0,0.861792,0.936728,9.68,0.8,0.0,0.066667,0.066667,0.066667,0.0,0.0
sub-09,0train,0,C_128Hz_1-63Hz,128.0,1.0,63.0,21,15,10,0,1,0,3,0,1,0.81609,0.872607,5.579,0.666667,0.0,0.066667,0.0,0.2,0.0,0.066667
sub-09,0train,0,D_128Hz_4-45Hz,128.0,4.0,45.0,21,15,11,0,1,1,1,0,1,0.879314,0.926521,5.993,0.733333,0.0,0.066667,0.066667,0.066667,0.0,0.066667
