Subject,Status,Trials Available,Trials Used for ICA,ICA Components,Artifact-Policy Predictions,Artifact-Policy Percentage,Runtime (s),Brain Predictions,Muscle Predictions,Eye Blink Predictions,Heart Beat Predictions,Line Noise Predictions,Channel Noise Predictions,Other Predictions
s01,Success,40,5,30,27,90.0,23.2551,1,0,0,27,0,0,2
s02,Success,40,5,30,26,86.67,13.6885,1,0,1,25,0,0,3
s03,Success,40,5,30,22,73.33,9.3216,1,0,0,21,0,1,7
s04,Success,40,5,30,27,90.0,10.1604,0,0,0,27,0,0,3
s05,Success,40,5,30,25,83.33,13.1308,0,3,0,22,0,0,5
s06,Success,40,5,30,19,63.33,8.8128,1,0,0,19,0,0,10
s07,Success,40,5,30,28,93.33,9.3422,0,0,0,28,0,0,2
s08,Success,40,5,30,25,83.33,10.5668,2,0,0,24,0,1,3
s09,Success,40,5,30,24,80.0,10.2917,2,0,0,24,0,0,4
s10,Success,40,5,30,25,83.33,13.0864,1,1,1,23,0,0,4
s11,Success,40,5,30,26,86.67,9.6883,0,1,0,25,0,0,4
s12,Success,40,5,30,24,80.0,9.6395,2,0,0,24,0,0,4
s13,Success,40,5,30,27,90.0,12.2331,1,1,1,25,0,0,2
s14,Success,40,5,30,29,96.67,8.8636,0,0,0,29,0,0,1
s15,Success,40,5,30,25,83.33,11.3556,0,1,1,22,0,1,5
s16,Success,40,5,30,26,86.67,9.6548,2,1,1,24,0,0,2
s17,Success,40,5,30,28,93.33,13.1708,0,2,0,26,0,0,2
s18,Success,40,5,30,24,80.0,10.4898,1,0,1,23,0,0,5
s19,Success,40,5,30,27,90.0,10.0709,2,0,0,26,0,1,1
s20,Success,40,5,30,27,90.0,16.4494,1,0,0,27,0,0,2
s21,Success,40,5,30,17,56.67,9.7372,0,0,0,17,0,0,13
s22,Success,40,5,30,29,96.67,19.2881,0,0,0,29,0,0,1
s23,Success,40,5,30,27,90.0,8.2763,1,0,1,26,0,0,2
s24,Success,40,5,30,24,80.0,8.8966,2,1,0,23,0,0,4
s25,Success,40,5,30,25,83.33,8.1765,1,1,0,24,0,0,4
s26,Success,40,5,30,27,90.0,8.2029,1,0,0,27,0,0,2
s27,Success,40,5,30,27,90.0,8.3345,0,2,0,25,0,0,3
s28,Success,40,5,30,25,83.33,11.7101,1,0,0,24,0,1,4
s29,Success,40,5,30,21,70.0,12.1372,2,0,0,21,0,0,7
s30,Success,40,5,30,25,83.33,9.2445,0,1,0,23,0,1,5
s31,Success,40,5,30,24,80.0,12.8399,3,0,1,22,0,1,3
s32,Success,40,5,30,23,76.67,10.0022,0,0,0,23,0,0,7
